id;name;size;team;country;speciality;academic role;ph role
216;Matthias Gille Levenson;1;FR;FR;0;;editor
217;Max De Wilde;1;EN;BE;ICS;Phd;authors
218;Megan Kudzia;2;EN;US;library science;Master;reviewers
219;Megan R. Brett;1;EN;GB;digital history;MSc;authors
220;Melanie Walsh;1;EN;US;0;Phd;reviewers
221;Melissa Jerome;1;ES;US;library science;Project Manager;reviewers
222;Michelle Moravec;1;EN;EN;0;;reviewers
223;Miguel Cuadros;1;ES;US;history;Master;authors
224;Miriam Posner;19;EN;EN;digital humanities;;editor
225;Morgane Pica;1;FR;FR;0;;reviewers
226;Moritz Mähr;1;EN;CH;political science;Master;authors
227;Nabeel Siddiqui;2;EN;US;digital humanities and american studies;;authors
228;Nancy Lemay;1;EN;EN;0;;reviewers
229;Nick Ruest;3;EN;US;computer science;Adjunct Faculty;reviewers
230;Nicolás Vaughan;2;ES;GB;phil;Tutor in Logic;authors
231;Nicolas Frerebeau;1;FR;FR;art history and archeology;Phd;authors
232;Nidia Hernández;1;ES;ES;0;;translator
233;Nora McGregor;1;EN;EN;0;;reviewers
234;Oliver Duke-Williams;1;EN;EN;0;;reviewers
235;Paige Morgan;1;EN;US;english studies;Digital Humanities Librarian;reviewers
236;Patrick Burns;3;EN;US;english studies;Phd;reviewers
237;Patrick Smyth;1;EN;EN;literature;;authors
238;Pedro Carrillo;1;ES;ES;0;;reviewers
239;Peggy Griesinger;1;EN;US;library science;Metadata & Cataloging Librarian;reviewers
240;Peter Organisciak;1;EN;US;ICS;Phd;authors
241;Peter Webster;2;EN;EN;0;;reviewers
242;Puteri Zarina Megat Khalid;1;EN;EN;literature;;reviewers
243;Qiwei Li;1;EN;US;medical;Assistant Professor;reviewers
244;Quinn Dombrowski;2;EN;US;computer science;Digital Scholarship Specialist / IT Analyst;authors
245;Rômulo Predes;3;PT;BR;political science;Bachelor;reviewers
246;Rafael Laguardia;1;PT;;0;;translator
247;Raffaele Viglianti;1;ES;GB;digital humanities;Phd;translator
248;Randa El Khatib;1;EN;EN;0;;reviewers
249;Renato Rocha Souza;5;PT;BR;literrature;Lecturer;reviewers
250;Riva Quiroga;7;ES;CH;linguistics;Phd;reviewers
251;Rob Sieczkiewicz;1;EN;EN;library sciene;Director;reviewers
252;Rocío Méndez;1;ES;ES;0;;reviewers
253;Romina De León;1;ES;AR;0;TÃ©cnico auxiliar;translator
254;Romulo Predes;1;PT;BR;political science;Bachelor;reviewers
255;Rosa María Muñoz Mendo;1;ES;ES;library science;;reviewers
256;Ruben Verborgh;1;EN;EN;computer science;;authors
257;Russell Alleen-Willems;1;EN;EN;0;;reviewers
258;Ryan Cordell;1;EN;US;english studies;Associate Professor;reviewers
259;Ryan Deschamps;6;EN;EN;digital history;;reviewers
260;Ryan Muther;1;EN;EN;0;;reviewers
261;Samuel Van Ransbeeck;1;PT;GB;0;artist;reviewers
262;Sandra van Ginhoven;1;EN;EN;0;;reviewers
263;Sarah Connell;1;EN;EN;librarian;;reviewers
264;Sarah Simpkin;4;EN;CA;library science and GIS;Librarian;reviewers
265;Scholars' Lab Community;1;EN;EN;0;;authors
266;Scott Weingart;2;EN;EN;digital humanities and history;;authors
267;Sean Morey;1;EN;EN;0;;reviewers
268;Sebastian Fiori;1;ES;ES;0;;translator
269;Seth Bernstein;1;EN;EN;history;Assistant Professor;authors
270;Seth van Hooland;1;EN;EN;ICS;;authors
271;Sharon Howard;2;EN;GB;history;Project Manager;reviewers
272;Shawn Graham;6;EN;GB;digital humanities and history;Professor;authors
273;Sheila Brennan;1;EN;US;art history;Associate Director;reviewers
274;Silvia Gutiérrez;2;ES;ES;0;;reviewers
275;Silvia Gutiérrez De la Torre;2;ES;ES;0;;authors
276;Simon Appleford;1;EN;US;0; None;reviewers
277;Simon Hengchen;1;EN;FI;0; None;authors
278;Sofia Papastamkou;17;FR;FR;history;Engineer;editor
279;Stéfan Sinclair;1;EN;EN;0;;reviewers
280;Stephanie J. Richmond;1;EN;EN;history;;authors
281;Stephen Krewson;1;EN;US;literature and computer science;Bachelor;authors
282;Suemi Higuchi;1;PT;;0;;reviewers
283;Susan Grunewald;1;EN;US;history;Phd;authors
284;Sybille Clochet;1;FR;FR;0;;translator
285;Sylvain Machefert;3;FR;FR;library science;Manager;translator
286;Sylvia Fernández Quintanilla;1;EN;EN;0;;reviewers
287;Taryn Dewar;1;EN;EN;public history;;authors
288;Tassie Gniady;1;EN;EN;0;;authors
289;Taylor Arnold;4;EN;US;statistics;Project Manager;reviewers
290;Ted Dawson;1;EN;US;german studies;Phd;authors
291;Telmo Menezes;1;EN;PT;literature and developer;Phd;reviewers
292;Terhi Nurmikko-Fuller;1;EN;GB;digital humanities;Phd;reviewers
293;Tesla Cariani;1;EN;EN;0;;reviewers
294;Tessa C Hauswedell;1;EN;EN;history;;reviewers
295;Thomas Jurczyk;1;EN;EN;0;;authors
296;Thomas Soubiran;2;FR;FR;0;;reviewers
297;Tim Compeau;1;EN;EN;0;;reviewers
298;Tommy Tavenner;1;EN;EN;data architecture and developer;;authors
299;Ulrike Henny-Krahmer;1;ES;DE;linguistics;Research Assistant;translator
300;Víctor Gayol;28;ES;MX;history;Professor;translator
301;Victor Gayol;4;ES;MX;history;Profesor;editor
302;Viera Rebolledo-Dhuin;1;FR;FR;0;Post-doc;reviewers
303;Vilja Hulden;1;EN;EN;history;;authors
304;Vincent Paillusson;1;FR;FR;0;MSc;authors
305;William J. Turkel;20;EN;US;history;Professor;authors
306;Ximin Mi;1;EN;EN;ICS;;authors
307;Zoé  Wilkinson Salda;3;#REF!;#REF!;0;;authors
308;Zoe LeBlanc;3;EN;USA;digital humanities developer;Assistant Professor;reviewers
