pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;total contrib;orcid_id;have_orcid;role1;role2;role3;city1;city2;city3;country1;country2;country3;institution1;institution2;institution3;speciality1;speciality2;speciality3
Laura Turner O'Hara;22/05/2013;22/05/2013;0;0;1;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Thomas Jurczyk;29/09/2021;29/09/2021;0;0;1;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Melanie Walsh;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0;1;0000-0003-4558-3310;1;Phd;;;St. Louis;;;US;;;Washington University in St. Louis;;;English;;
Luling Huang;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Alex Wermer-Colan;29/09/2021;29/09/2021;0;0;1;0;0;0;0;1;0;0;0;1;;0;;;;;;;;;;;;;;;
William J. Turkel;17/07/2012;17/12/2014;2;0;20;0;0;17;1;2;0;0;0;20;0000-0003-4734-9894;1;Phd;;;Cambridge;;;US;;;Massachusetts Institute of Technology;;;History, Anthropology, STS;;
Jim Clifford;17/07/2012;29/08/2017;5;0;22;0;0;4;18;0;0;0;0;22;0000-0003-2004-5161;1;;;;;;;;;;;;;;;
Miriam Posner;17/07/2012;24/02/2016;4;0;19;0;0;2;0;17;0;0;0;19;;0;;;;;;;;;;;;;;;
Scholars' Lab Community;23/11/2020;23/11/2020;0;0;1;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Jesse Sadler;03/05/2018;23/11/2020;2;0;2;0;0;0;2;0;0;0;0;2;;0;;;;;;;;;;;;;;;
M. Willis Monroe;23/11/2020;23/11/2020;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-9126-2991;1;Phd;;;Providence;;;US;;;Brown University;;;Egyptology and Assyriology;;
Jessica Parr;29/08/2017;23/11/2020;3;0;4;0;0;0;0;4;0;0;0;4;0000-0003-4981-1587;1;Teaching Assistant;;;Durham;;;US;;;University of New Hampshire;;;History;;Data Analytics
