orcid_id;begin;end;role;institution;city;country;speciality
0000-0002-3311-1060;;;Phd;University of Kentucky;Lexington;US;History
0000-0003-4158-6186;2009;2016;Phd;University of Nebraska-Lincoln;Lincoln;US;History
0000-0003-4343-0265;2010;2015;Phd;" ""King's College London""";London;GB;History
0000-0001-5452-3913;2010;2016;Phd;École nationale des chartes;Paris;FR;History
0000-0003-1275-4101;2014;2019;Phd;Carnegie Mellon University;Pittsburgh;US;History
0000-0002-5240-060X;;2018;Phd;Universidade de São Paulo;Sao Paulo;BR;History
0000-0001-5116-3828;2008;2013;Phd;University of Toronto;Toronto;CA;History
0000-0001-5415-795X;2012;2016;Phd;Universidade Federal Fluminense;Niterói;BR;History
0000-0001-5542-3754;2014;2019;Phd;Université de Montréal;Montreal;CA;Histoire / History
0000-0002-0136-4434;2020;;Phd;Université de Montréal;Montréal;CA;GREN
0000-0003-2852-065X;2016;;Phd;University of Würzburg;Wurzburg;DE;Graduate School for the Humanities (GSH)
0000-0001-7503-8685;2014;;Phd;Université Bordeaux Montaigne;Pessac;FR;None
0000-0002-9192-6233;2012;2018;Phd;Vanderbilt University;Nashville;US;German
0000-0001-7750-7246;1998;;Phd;Universidade Estadual de Campinas;Campinas;BR;Filosofia e História da Educação
0000-0001-7204-6428;2005;2009;Phd;Universidade de Coimbra;Coimbra;PT;Faculty of Science and Technology
0000-0002-2877-0539;2009;2014;Phd;University of Oxford;Oxford;GB;Faculty of Philosophy
0000-0003-4776-0261;2010;2015;Phd;University of Cambridge;Cambridge;GB;Faculty of History
0000-0002-9433-2799;2013;;Phd;Universidade NOVA de Lisboa;Lisboa;PT;Faculdade de Ciências Sociais e Humanas
0000-0002-1895-3905;2002;2005;Phd;Universidade Federal de Minas Gerais;Belo Horizonte;BR;Escola de Ciencia da Informacao
0000-0001-9984-725X;2012;2017;Phd;University of Strathclyde;Glasgow;GB;English
0000-0002-9881-682X;2004;2008;Phd;University of Oxford;Oxford;GB;English
0000-0002-4345-0533;;2010;Phd;University of Virginia;Charlottesville;US;English
0000-0003-2827-1569;2015;;Phd;Columbia University;New York;US;English and Comparative Literature
0000-0003-4125-2813;2008;2014;Phd;University of Virginia;Charlottesville;US;English
0000-0003-2897-2090;2016;;Phd;University of Florida;Gainesville;US;English
0000-0003-3867-9138;2006;2012;Phd;University of Iowa;Iowa City;US;English
0000-0003-2696-1419;2013;2018;Phd;University of Nebraska-Lincoln;Lincoln;US;English
0000-0002-6086-0649;2011;;Phd;Yale University;New Haven;US;English
0000-0002-5440-062X;2012;2019;Phd;Washington University in St. Louis;Saint Louis;US;English
0000-0001-8693-3677;;;Phd;University of California;Santa Barbara;US;English
0000-0003-4558-3310;2013;2019;Phd;Washington University in St. Louis;St. Louis;US;English
0000-0002-1709-2314;1995;2003;Phd;Pennsylvania State University;University Park;US;English
0000-0002-2480-4746;2015;;Phd;University of Victoria;Victoria;CA;English
0000-0002-9126-2991;2010;2016;Phd;Brown University;Providence;US;Egyptology and Assyriology
0000-0002-0237-2532;1999;2006;Phd;Université de Strasbourg;Strasbourg;FR;Ecole doctorale
0000-0002-9723-4262;2016;;Phd;University of Texas at Austin;Austin;US;Department of Spanish and Portuguese
0000-0003-3696-4189;;2007;Phd;Norwegian University of Science and Technology;Trondheim;NO;Department of Interdisciplinary Studies of Culture
0000-0002-2128-0641;2014;2019;Phd;European University Institute;Florence;IT;Department of History and Civilization
0000-0002-7406-6286;2009;2015;Phd;" ""King's College London""";London;GB;Department of Digital Humanities
0000-0003-3094-139X;;2016;Phd;" ""King's College London""";London;GB;Department of Digital Humanities
0000-0002-3575-1512;2020;;Phd;University of Pittsburgh at Greensburg;Greensboro;US;Community Health Education
0000-0003-2158-866X;2012;2016;Phd;Fordham University;Bronx;US;Classics
0000-0003-3781-5812;;2016;Phd;Florida State University;Tallahassee;US;Classics
0000-0002-4387-3384;2012;2016;Phd;University of Maryland;College Park;US;Art History & Archaeology
0000-0001-5759-4944;2011;2014;Phd;Université Bordeaux Montaigne;Pessac;FR;Art & Archeology
0000-0001-5759-4944;2011;2015;Phd;Université Bordeaux Montaigne;Pessac;FR;Art & Archeology
0000-0002-2887-3554;1999;2002;Phd;University of Reading;Reading;GB;Archaeology
0000-0003-4629-8888;;;Phd;Yale University;New Haven;US;American Studies
0000-0003-4482-7897;2021;;Phd;Inria;Paris;FR;ALMAnaCH
0000-0002-0136-4434;2021;;Phd;Inria;Paris;FR;ALMAnaCH
0000-0003-4482-7897;2021;;Phd;Le Mans Université;Le Mans;FR;3.LAM
0000-0002-8102-9416;2014;;Phd;Advanced Research Center for Nanolithography;Amsterdam;NL; None
0000-0001-9149-9377;2007;2014;Phd;Ruhr-Universitat Bochum;Bochum;DE; None
0000-0001-6741-6746;2015;;Phd;Consejo Nacional de Investigaciones Científicas y Técnicas;Buenos Aires;AR; None
0000-0002-2475-3184;2017;;Phd;Justus Liebig Universitat Giessen;Giessen;DE; None
0000-0002-4903-1372;2005;2011;Phd;Université de Versailles-Saint-Quentin-en-Yvelines;Guyancourt;FR; None
0000-0003-3184-3943;2012;2018;Phd;Université de Lausanne;Lausanne;CH; None
0000-0001-9488-5986;;;Phd;École Normale Supérieure de Lyon;Lyon;FR; None
0000-0002-1367-1618;2018;;Phd;ETH-Bereich Hochschulen;Zurich;CH; None
0000-0002-1367-1618;2018;;Phd;ETH-Bereich Hochschulen;Zurich;CH; None
0000-0002-4130-6669;2017;;Phd;Université Bordeaux Montaigne;Pessac;FR;" ""Sciences de l'information et de la communication"""
0000-0002-8280-3338;2006;;Pesquisador;Fundação Getulio Vargas;Rio de Janeiro;BR;CPDOC
0000-0001-7629-1404;2001;;Partner;INSTITUTO RDX DE ENSINO ;Rio de Janeiro;BR; None
0000-0002-0384-7704;2015;2018;Outreach and Engagement Manager;Yale University;New Haven;US;Digital Humanities Lab
0000-0002-3575-1512;2007;2009;None;Ozarks Technical Community College;Springfield;US; None
0000-0003-2771-5367;2014;2015;National Digital Stewardship Resident;Museum of Modern Art;New York;US;Conservation
0000-0002-7474-7196;2006;2007;MSc;University of Edinburgh;Edinburgh;GB;Scottish Studies
0000-0003-2346-2876;2017;2019;MSc;University of Illinois;Urbana;US;School of Information Sciences
0000-0003-4981-1587;;2005;MSc;Simmons College;Boston;US;Library and Information Science
0000-0002-4429-136X;;;MSc;Drexel University;Philadelphia;US;iSchool@UBC: School of Library, Archival and Information Studies
0000-0002-5240-060X;;2014;MSc;Universidade de São Paulo;Sao Paulo;BR;History
0000-0002-6086-0649;2016;;MSc;Yale University;New Haven;US;Computer Science
0000-0001-7629-1404;2005;2006;MSc;Instituto Brasileiro de Mercado de Capitais;Rio de Janeiro;BR;Business Administration
0000-0003-2646-6784;2001;2002;MSc;University of York;York;GB;Archaeology
0000-0002-8102-9416;;2014;MSc;Universidade Nova de Lisboa Faculdade de Ciências e Tecnologia;Caparica;PT; None
0000-0001-8251-7131;;;MSc;University of Florida;Gainesville;US; None
0000-0002-8102-9416;;2012;MSc;Universidade de Lisboa Instituto Superior Técnico;Lisboa;PT; None
0000-0002-8102-9416;2007;2008;MSc;Universidade Técnica de Lisboa Centro de Química-Física Molecular;Lisboa;PT;Química-Física Molecular
0000-0002-5750-5988;;;MSc;London School of Hygiene & Tropical Medicine;London;GB;Medical
0000-0002-1951-6942;;;MSc;École nationale des chartes;Paris;FR; None
0000-0003-0850-8266;2018;2020;MSc;École nationale des chartes;Paris;FR; None
0000-0002-8102-9416;2011;2011;MSc;Institut Parisien de Chimie Moléculaire;Paris;FR; None
0000-0003-1286-3893;2001;2006;MSc;Sorbonne Université;Paris;FR; None
0000-0001-8251-7131;;;MSc;Florida State University;Tallahassee;US; None
0000-0003-4776-0261;2009;2010;MPhil;University of Cambridge;Cambridge;GB;Faculty of History
0000-0002-0287-7493;2013;2017;MPhil;University of Kent;Canterbury;GB;Classical and Archaeological Studies
0000-0002-9115-4739;2006;2010;Molecular Biology;University of Toronto;Toronto;CA; None
0000-0002-7998-940X;;2004;MLS;Indiana University;Bloomington;US; None
0000-0002-7990-9924;;2015;MLS;University of British Columbia;Vancouver;CA;iSchool@UBC: School of Library, Archival and Information Studies
0000-0003-0774-4777;2011;2012;MLIS;Western University;London;CA;Faculty of Information and Media Studies
0000-0002-0276-8078;2000;2002;MIA;Columbia University;New York;US;School of International and Public Affairs
0000-0003-2771-5367;2015;2018;Metadata & Cataloging Librarian;George Mason University;Fairfax;US;University Libraries
0000-0001-7750-7246;1991;;Mestre;Universidade Metodista de Piracicaba;Piracicaba;BR;Filosofia e História da Educação
0000-0001-9461-7834;2020;;Mestrando em Sociologia;Universidade do Estado do Rio de Janeiro Instituto de Estudos Sociais e Politicos;Rio de Janeiro;BR; Sociais e Politicos
0000-0002-2094-8216;2013;2015;Mestrado;Universidade Federal do Rio Grande do Norte;Natal;BR;Programa de Pós-Graduação em História
0000-0002-8280-3338;2009;2011;Meste em População, Território e Estatísticas Públicas;ENCE / IBGE;Rio de Janeiro;BR;ENCE
0000-0002-2785-3519;2015;2017;Mellon Digital Humanities Fellow and Visiting Assistant Professor of English;Washington and Lee University;Lexington;US;University of Virginia
0000-0002-8263-5485;;;MBA;" ""Queen's University""";Kingston;CA; None
0000-0002-0276-8078;2012;2013;Max Weber Postdoctoral Fellow;European University Institute;Fiesole;IT; None
0000-0001-6122-0777;2008;2009;Master;University of Valencia;Valencia;ES;Valencia
0000-0003-2771-5367;2012;2014;Master;Indiana University;Bloomington;US;School of Library and Information Science
0000-0003-0900-6823;2008;2009;Master;Wayne State University;Detroit;US;School of Library and Information Science
0000-0001-5301-5626;2002;2005;Master;San Jose State University;San Jose;US;School of Library and Information Science
0000-0001-9759-8464;2016;2018;Master;Florida State University;Tallahassee;US;School of Information Sciences
