pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editor;translator;total contrib;orcid_id;have_orcid;fr_contrib;en_contrib;pt_contrib;es_contrib;authors_contrib;reviewers_contrib;editor_contrib;translator_contrib;role1;role2;role3;city1;city2;city3;country1;country2;country3;institution1;institution2;institution3;speciality1;speciality2;speciality3;role1;role2;role3;speciality_sofia;institution_sofia;year_start_sofia;country sofia;city sofia;institution_clean;year_start_sofia;country sofia;city sofia;;;;;;;;;;;
Alex Brey;04/11/2018;04/11/2018;0;0;1;0;0;1;0;0;0;1;0000-0002-3201-8462;1;0;1;0;0;1;0;0;0;;;Assistant Professor;;;Wellesley;;;US;;;Wellesley College;;;Research Methods and Information Science;;;;visual arts;;;;;Wellesley College;2018;;;;;;;;;;;;;
Charlie Harper;27/07/2018;27/07/2018;0;0;1;0;0;1;0;0;0;1;0000-0003-3781-5812;1;0;1;0;0;1;0;0;0;Phd;;;Tallahassee;;;US;;;Florida State University;;;Classics;;;;;;library science;;;;;;2018;US;Tallahassee;;;;;;;;;;;
Moritz MÃ¤hr;30/01/2020;30/01/2020;0;0;1;0;0;1;0;0;0;1;0000-0002-1367-1618;1;0;1;0;0;1;0;0;0;Master;;Project Manager;Zurich;;Basel;CH;;CH;ETH Zurich;;University of Basel;Department of Humanities, Social and Political Sciences;;;;;;;;;;;University of Basel;2020;CH;Zurich;;;;;;;;;;;
Armando Luza;01/04/2019;01/04/2019;0;0;0;0;1;1;0;0;0;1;0000-0001-5679-7360;1;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;MÃ¡ster universitario en EnseÃ±anza y Aprendizaje de Idiomas mediante la TecnologÃ­a (Ãrea de Artes y Humanidades);;;;translation;;;;;;2019;;;;;;;;;;;;;
Anthony PicÃ³n RodrÃ­guez;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;1;0000-0001-6765-4146;1;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2020;;;;;;;;;;;;;
Miguel Cuadros;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;1;0000-0001-7526-1166;1;0;0;0;1;1;0;0;0;Master;;;Binghamton;;;US;;;Binghamton University;;;History;;;;;;;;;;;;2020;US;Binghamton;;;;;;;;;;;
Gimena del RÃ­o Riande;14/12/2021;14/12/2021;0;0;0;0;1;1;0;0;0;1;0000-0002-8997-5415;1;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;Special and Area Studies Collection, George A. Smathers Libraries;;;;;;;;;;2021;;;;;;;;;;;;;
Brenta Blevins;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;English;Phd;;Associate Professor;;;;;;;2018;;;;;;;;;;;;;
MarÃ­a Pilar Escobar;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;1;0000-0002-8977-7873;1;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Manon Durier;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;1;0000-0001-5318-9167;1;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;Engineer;;Visiting lecturer;;;;;;;2022;;;;;;;;;;;;;
Anandi Silva Knuppel;15/01/2018;14/01/2019;1;0;3;0;0;0;2;1;0;3;;0;0;1;0;0;0;1;1;0;;;;;;;;;;;;;;;;;;;digital humanities;;;;;;2018;;;;;;;;;;;;;
Peter Webster;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;2;0000-0001-6801-0852;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;5;;Project Manager;;;;;;;2013;;;;;;;;;;;;;
Jessica Parr;29/08/2017;23/11/2020;3;0;4;0;0;0;0;4;0;4;0000-0003-4981-1587;1;0;1;0;0;0;0;1;0;Teaching Assistant;;;Durham;;;US;;;University of New Hampshire;;;History;;Data Analytics;Phd;Associate Professor;Professor;history; Simmons College;2017;USA;Boston; Simmons College;2017;USA;Boston;;;;;;;;;;;
Justin Larsen;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Master;;;;;;;;;2015;;;;;;;;;;;;;
Sean Morey;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-8409-6091;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;Associate Professor;Professor;;;;;;;2018;;;;;;;;;;;;;
Jeff Veitch;07/06/2016;07/06/2016;0;0;1;0;0;0;1;0;0;1;0000-0002-0287-7493;1;0;1;0;0;0;1;0;0;MA;MPhil;Visiting lecturer;London;Canterbury;London;GB;GB;GB;" ""King's College London""";University of Kent;University of Roehampton;Classics;Classical and Archaeological Studies;;3;;Professor;;;;;;University of Roehampton;2016;GB;Canterbury;;;;;;;;;;;
Patrick Smyth;02/04/2018;02/04/2018;0;0;1;0;0;1;0;0;0;1;;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;literature;;;;;;2018;;;;;;;;;;;;;
Manuel Marco Such;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;1;0000-0002-4145-0521;1;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Marie-Anne Vibet;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;1;0000-0003-4003-3141;1;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;ALMAnaCH;;;Phd;;;;;;;2021;;;;;;;;;;;;;
Telmo Menezes;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;1;0000-0001-7204-6428;1;0;1;0;0;0;1;0;0;Phd;;;Coimbra;;;PT;;;Universidade de Coimbra;;;Faculty of Science and Technology;;;;Phd;Literary Informatics Librarian;;;;;;;2019;PT;Coimbra;;;;;;;;;;;
Ryan Muther;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;;;;;;;;;2021;;;;;;;;;;;;;
Marco BÃ¼chler;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;;;;;;;;;2021;;;;;;;;;;;;;
Konrad Lawson;13/09/2013;13/09/2013;0;0;1;0;0;0;1;0;0;1;0000-0002-0276-8078;1;0;1;0;0;0;1;0;0;Phd;;;Cambridge;;;US;;;Harvard University;;;History;;Office of Research;Graduate Teaching Assistant/Instructor;Digital Humanities Librarian;Librarian;;;;;;;2013;US;Cambridge;;;;;;;;;;;
Luke Bergmann;11/11/2012;11/11/2012;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;History;Lecturer;;;;;;;;;2012;;;;;;;;;;;;;
Rob Sieczkiewicz;19/06/2015;19/06/2015;0;0;1;0;0;0;1;0;0;1;0000-0002-4429-136X;1;0;1;0;0;0;1;0;0;;;Director;;;Selinsgrove;;;US;;;Susquehanna University;;;;National Digital Stewardship Resident;Metadata & Cataloging Librarian;Head of Metadata Initiatives;;;;;;Susquehanna University;2015;;;;;;;;;;;;;
Lucas Terriel;06/01/2021;06/01/2021;0;1;0;0;0;0;0;0;1;1;0000-0002-9189-258X;1;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;Research Engineer;Chef du service numÃ©rique de la recherche;ChargÃ© de dÃ©veloppement des ressources numÃ©riques du Centre de Ressources et de Recherches ;;;;;;;2021;;;;;;;;;;;;;
Celeste TÆ°á»ng Vy Sharpe;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;History and Art History;MA;Phd;Visiting Assistant Professor;;;;;;;2016;;;;;;;;;;;;;
Frederik Elwert;17/07/2012;01/12/2015;3;0;10;0;0;0;10;0;0;10;0000-0001-9149-9377;1;0;1;0;0;0;1;0;0;MA;Phd; None;Bremen;Bochum;Bochum;DE;DE;DE;UniversitÃ¤t Bremen;Ruhr-Universitat Bochum;Ruhr-UniversitÃ¤t Bochum; None; None;;5;;Associate Professor;;;;;;Ruhr-UniversitÃ¤t Bochum;2012;DE;Bochum;;;;;;;;;;;
Antoine Henry;10/06/2021;01/04/2022;1;2;0;0;0;0;1;1;0;2;0000-0003-4722-4610;1;1;0;0;0;0;1;1;0;;;;;;;;;;;;;;;;Phd;Clinical Assistant Professor and Director of Digital Media Lab;Assistant Professor;;;;;;;2021;;;;;;;;;;;;;
Elisa Beshero-Bondar;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;1;0000-0002-1709-2314;1;0;1;0;0;0;1;0;0;Phd;Associate Professor;Professor;University Park;Greensburg;Erie;US;US;US;Pennsylvania State University;University of Pittsburgh at Greensburg;Penn State Behrend;English;Humanities Division;;Researcher; None; None;;;;;;Penn State Behrend;2017;US;Greensburg;;;;;;;;;;;
Peggy Griesinger;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;1;0000-0003-2771-5367;1;0;1;0;0;0;1;0;0;National Digital Stewardship Resident;Metadata & Cataloging Librarian;Head of Metadata Initiatives;New York;Fairfax;Notre Dame;US;US;US;Museum of Modern Art;George Mason University;University of Notre Dame;Conservation;University Libraries;;Molecular Biology;; None;;;;;;University of Notre Dame;2017;US;Fairfax;;;;;;;;;;;
Anne Chao;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;Mathematics;;;;;;;;;;2017;;;;;;;;;;;;;
Zoe LeBlanc;27/07/2018;13/05/2019;1;0;3;0;0;0;2;1;0;3;0000-0003-2012-8805;1;0;1;0;0;0;1;1;0;;;;;;;;;;;;;;;;;; None;digital humanities developer; Princeton University;2018;USA;New Jersey; Princeton University;2018;USA;New Jersey;;;;;;;;;;;
Francesca Benatti;17/07/2012;17/07/2012;0;0;1;0;0;0;1;0;0;1;0000-0002-1456-7812;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Professor;Phd;;;;;;;;2012;;;;;;;;;;;;;
Hugo Bonin;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;1;1;0000-0002-9029-5564;1;1;0;0;0;0;0;0;1;;Phd;;;QC;;;CA;;;UniversitÃ© du QuÃ©bec Ã  MontrÃ©al;;;Political Science;;;Phd;;;;;;;0;2019;CA;QC;;;;;;;;;;;
Guy McClellan;01/12/2015;01/12/2015;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Researcher; None;;;;;;;;2015;;;;;;;;;;;;;
Amanda Morton;17/07/2012;01/12/2015;3;0;7;0;0;0;7;0;0;7;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;digital history;;;;;;2012;;;;;;;;;;;;;
Arthur Perret;09/09/2020;09/09/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-4130-6669;1;1;0;0;0;0;1;0;0;Master;;;Villeurbanne;;;FR;;;" ""Ecole Nationale Superieur des Sciences de l'Information et des Bibliotheques""";;;" ""Sciences de l'information et des bibliothÃ¨ques";;Data Analytics;;Mellon Digital Humanities Fellow and Visiting Assistant Professor of English;;;;;;;;2020;FR;Villeurbanne;;;;;;;;;;;
Clemens Neudecker;06/01/2021;06/01/2021;0;0;1;0;0;0;1;0;0;1;0000-0001-5293-8322;1;0;1;0;0;0;1;0;0;Technical Coordinator Research;;;The Hague;;;NL;;;Koninklijke Bibliotheek;;;Innovation & IT;;;5;Graduate Research Assistant, Digital Scholarship Lab Manager;;;;;;;;2021;NL;The Hague;;;;;;;;;;;
Lisa Lowry;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2017;;;;;;;;;;;;;
Erin N. Bush;21/07/2016;24/04/2017;1;0;2;0;0;0;2;0;0;2;0000-0002-5958-9038;1;0;1;0;0;0;1;0;0;Master;Phd;Assistant Professor;Fairfax;Fairfax;Dahlonega;US;US;US;George Mason University;George Mason University;University of North Georgia;History & Art History;History & Art History;;Graduate Research Assistant;CLIR/DLF Postdoctoral Fellow in Data Curation for Latin American and Latina/o Studies;;;;;;;University of North Georgia;2016;US;Fairfax;;;;;;;;;;;
Brandon Locke;17/05/2021;17/05/2021;0;0;1;0;0;0;1;0;0;1;0000-0001-8531-3927;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;3;;;;;;;;2021;;;;;;;;;;;;;
Eleni Gadolou;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Technical Coordinator Research;;;;;;;;;2022;;;;;;;;;;;;;
Paige Morgan;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;1;0000-0001-8076-7356;1;0;1;0;0;0;1;0;0;Graduate Teaching Assistant/Instructor;Digital Humanities Librarian;Librarian;Seattle;Coral Gables;Newark;US;US;US;University of Washington;University of Miami;University of Delaware;English;University of Miami Libraries;;5; None;;;;;;;University of Delaware;2016;US;Coral Gables;;;;;;;;;;;
Jacob W. Greene;10/08/2018;10/08/2018;0;0;1;0;0;1;0;0;0;1;;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;MLIS;;Head, Research Support (Arts and Special Collections);literature;;;;;;2018;;;;;;;;;;;;;
Florian Cafiero;02/04/2020;02/04/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-1951-6942;1;1;0;0;0;0;1;0;0;Engineer;;Visiting lecturer;Paris;;New York;FR;;US;Ecole des Hautes Etudes en Sciences Sociales;;Columbia University; None;;; None;;;;;;;;Columbia University;2020;FR;Paris;;;;;;;;;;;
Terhi Nurmikko-Fuller;07/05/2017;07/05/2017;0;0;1;0;0;0;1;0;0;1;0000-0002-0688-3006;1;0;1;0;0;0;1;0;0;Phd;;;Southampton;;;GB;;;University of Southampton;;;Humanities / Web Science CDT;;German;artist;;;;;;;;;2017;GB;Southampton;;;;;;;;;;;
Sarah Connell;05/05/2020;05/05/2020;0;0;1;0;0;0;1;0;0;1;0000-0001-9202-5798;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;University Libraries;3;;;;;;;;;2020;;;;;;;;;;;;;
LÃ©on Robichaud;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;Assistant Professor;;;;;;;2017;;;;;;;;;;;;;
John Fink;02/09/2012;13/11/2015;3;0;2;0;0;0;2;0;0;2;0000-0001-5301-5626;1;0;1;0;0;0;1;0;0;Master;;;San Jose;;;US;;;San Jose State University;;;School of Library and Information Science;;;3;;;;;;;;;2012;US;San Jose;;;;;;;;;;;
Charlotte Tupman;20/09/2014;20/09/2014;0;0;1;0;0;0;1;0;0;1;0000-0002-4211-1062;1;0;1;0;0;0;1;0;0;Lecturer;;;Exeter;;;GB;;;University of Exeter;;;Political Science;;;3;;;;;;;;;2014;GB;Exeter;;;;;;;;;;;
Isabelle Gribomont;03/05/2019;03/05/2019;0;1;0;0;0;0;1;0;0;1;0000-0001-7443-5849;1;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;Digital Scholarship Specialist / IT Analyst;;;;;;;;;2019;;;;;;;;;;;;;
Ben Hurwitz;06/05/2013;06/05/2013;0;0;1;0;0;0;1;0;0;1;0000-0003-2670-6514;1;0;1;0;0;0;1;0;0;Bachelor;;Graduate Research Assistant;Waterville;;Atlanta;US;;US;Colby College;;Georgia Institute of Technology;Mathematics;;;3;;;;;;;;Georgia Institute of Technology;2013;US;Waterville;;;;;;;;;;;
Amber Stubbs;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;1;0000-0001-6148-9290;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;5;;;;;;;;;2019;;;;;;;;;;;;;
GwenaÃ«lle Patat;19/11/2021;19/11/2021;0;1;0;0;0;0;0;1;0;1;0000-0002-8520-3485;1;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;5;;;;;;;;;2021;;;;;;;;;;;;;
Catherine DeRose;22/11/2016;30/01/2020;4;0;3;0;0;0;3;0;0;3;0000-0002-0384-7704;1;0;1;0;0;0;1;0;0;;Outreach and Engagement Manager;;;New Haven;;;US;;;Yale University;;;Digital Humanities Lab;;5;;;;;;;;0;2016;US;New Haven;;;;;;;;;;;
Viera Rebolledo-Dhuin;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;1;0000-0002-4903-1372;1;1;0;0;0;0;1;0;0;Post-doc;;;Guyancourt;;;FR;;;UniversitÃ© de Versailles-Saint-Quentin-en-Yvelines;;; None;;;5;;;;;;;;;2022;FR;Guyancourt;;;;;;;;;;;
Marie-Christine Boucher;02/04/2020;10/06/2021;1;5;0;0;0;0;3;1;1;5;0000-0002-2475-3184;1;1;0;0;0;0;1;1;1;MA;;;Montreal;;;CA;;;UniversitÃ© de MontrÃ©al;;;German;;;5;;;; Justus-Liebig-Universität Gießen;2020;Germany;Giessen; Justus-Liebig-Universität Gießen;2020;Germany;Giessen;;;;;;;;;;;
FrÃ©dÃ©ric Clavert;06/07/2019;16/10/2019;0;1;1;0;0;0;2;0;0;2;0000-0002-0237-2532;1;1;1;0;0;0;1;0;0;Year abroad (Erasmus);;;Leeds;;;GB;;;University of Leeds School of Politics and International Studies;;;Politics and International Studies;;;Phd;;;;;;;;;2019;GB;Leeds;;;;;;;;;;;
Marie Puren;10/04/2019;30/07/2020;1;2;0;0;0;0;2;0;0;2;0000-0001-5452-3913;1;1;0;0;0;0;1;0;0;Research Engineer;Post-doc;Enseignante-chercheuse;Le Chesnay;Lyon;Le Kremlin-Bicetre;FR;FR;FR;Inria;CNRS;EPITECH; None;LARHRA;;Phd;;;history; LARHRA;2018;France;Paris; LARHRA;2018;France;Paris;;;;;;;;;;;
Jeri Wieringa;21/07/2016;08/12/2019;3;0;5;0;0;0;1;4;0;5;0000-0002-9364-2808;1;0;1;0;0;0;1;1;0;Master;Phd;Assistant Professor;New Haven;Fairfax;Tuscaloosa;US;US;US;Yale University Yale Divinity School;George Mason University;The University of Alabama; None;History and Art History;;Phd;;;history;;;;;The University of Alabama;2016;US;Fairfax;;;;;;;;;;;
Joanna Swafford;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;1;0000-0003-4125-2813;1;0;1;0;0;0;1;0;0;Phd;Assistant Professor;Digital Humanities Specialist;Charlottesville;New Paltz;Medford;US;US;US;University of Virginia;SUNY New Paltz Department of English;Tufts University;English;English;;Phd;;;;;;;;Tufts University;2016;US;New Paltz;;;;;;;;;;;
Allison Hegel;20/09/2014;20/09/2014;0;0;2;0;0;0;2;0;0;2;0000-0001-7750-7246;1;0;1;0;0;0;1;0;0;Post-doc;;;Bochum;;;DE;;;Ruhr-UniversitÃ¤t Bochum;;;Hegel Archiv;;;Phd;;;english studies;;;;;;2014;DE;Bochum;;;;;;;;;;;
Sylvia FernÃ¡ndez Quintanilla;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2019;;;;;;;;;;;;;
Brianna Allen;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;1;0000-0002-0824-4048;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;;;;;;;;;2019;;;;;;;;;;;;;
Marcelo Raimundo;28/06/2021;28/06/2021;0;0;0;0;1;1;0;0;0;1;0000-0002-0200-6399;1;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Folgert Karsdorp;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-5958-0551;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;;;;;;;;;2018;;;;;;;;;;;;;
Jan Rybicki;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;1;0000-0003-2504-9372;1;0;1;0;0;0;1;0;0;Magister;;;Krakow;;;PL;;;Uniwersytet Jagiello?ski w Krakowie;;;Instytut Filologii Angielskiej;;;Phd;;;;;;;;;2018;PL;Krakow;;;;;;;;;;;
Brandee Easter;04/12/2021;04/12/2021;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;;;;;;;;;2021;;;;;;;;;;;;;
Alexandre Bartz;06/10/2021;06/10/2021;0;1;0;0;0;0;1;0;0;1;0000-0003-0850-8266;1;1;0;0;0;0;1;0;0;MSc;;;Paris;;;FR;;;Ã‰cole nationale des chartes;;; None;;;Post-doc;;;;;;;;;2021;FR;Paris;;;;;;;;;;;
Anna-Maria Sichani;18/03/2019;11/02/2022;3;0;5;0;0;0;0;5;0;5;0000-0001-6778-4610;1;0;1;0;0;0;0;1;0; None;;;Athens;;;GR;;;National and Kapodistrian University of Athens;;;Modern Greek Literature ;;;Post-doc;;;digital humanities and history; University of Sussex;2018;UK;Brighton; University of Sussex;2018;UK;Brighton;;;;;;;;;;;
DÃ©borah Dubald;10/04/2020;10/04/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-2128-0641;1;1;0;0;0;0;1;0;0;Phd;;;Florence;;;IT;;;European University Institute;;;Department of History and Civilization;;;Professor;;;;;;;;;2020;IT;Florence;;;;;;;;;;;
Randa El Khatib;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;1;0000-0002-2480-4746;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Research Engineer;;;;;;;;;2022;;;;;;;;;;;;;
Simon Appleford;03/05/2018;03/05/2018;0;0;1;0;0;0;1;0;0;1;0000-0003-2192-7860;1;0;1;0;0;0;1;0;0; None;;;Clemson;;;US;;;Clemson University;;; None;;;Research Fellow;;;;;;;;;2018;US;Clemson;;;;;;;;;;;
Tessa C Hauswedell;07/07/2016;07/07/2016;0;0;1;0;0;0;1;0;0;1;0000-0002-0734-3538;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;History;TÃ©cnico auxiliar;;;;;;;;;2016;;;;;;;;;;;;;
Puteri Zarina Megat Khalid;15/01/2018;15/01/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-9296-8662;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;Humanities;TÃ­tulo Superior en Arte DramÃ¡tico;;;;;;;;;2018;;;;;;;;;;;;;
Derek Price;21/07/2016;21/07/2016;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;;;;;;;;;2016;;;;;;;;;;;;;
Jane Winters;30/04/2014;30/04/2014;0;0;1;0;0;0;1;0;0;1;0000-0001-5502-5887;1;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Tutor in Logic;;;;;;;;;2014;;;;;;;;;;;;;
Nick Ruest;13/09/2013;29/08/2017;4;0;3;0;0;0;3;0;0;3;0000-0003-1891-1112;1;0;1;0;0;0;1;0;0;Adjunct Faculty;;;Detroit;;;US;;;Wayne State University;;;School of Information Sciences;;;Various roles (research fellow, webmaster, research assistant);;;;;;;;;2013;US;Detroit;;;;;;;;;;;
Tesla Cariani;20/12/2018;20/12/2018;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Magister;;;;;;;;;2018;;;;;;;;;;;;;
Josh Romphf;20/12/2018;20/12/2018;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;; None;MaestrÃ­a en historia ;;;;;;;;;2018;;;;;;;;;;;;;
Thomas Soubiran;15/01/2020;06/10/2021;1;2;0;0;0;0;1;0;1;2;0000-0001-8531-8488;1;1;0;0;0;0;1;0;1;;;;;;;;;;;;;;;;Web services librarian;;;;;;;;;2020;;;;;;;;;;;;;
Sylvain Machefert;01/07/2019;09/05/2020;1;3;0;0;0;0;1;0;2;3;0000-0001-9288-1754;1;1;0;0;0;0;1;0;2;Web services librarian;;;Pessac;;;FR;;;UniversitÃ© Bordeaux III;;;Library and Information Science;;;Year abroad (Erasmus);;;;;;;;;2019;FR;Pessac;;;;;;;;;;;
Sofia Papastamkou;10/04/2019;01/04/2022;3;16;1;0;0;0;2;13;2;17;0000-0002-5148-1348;1;1;1;0;0;0;1;1;2;;;;;;;;;;;;;;;;;;;history; CNRS;2018;France;Lille; CNRS;2018;France;Lille;;;;;;;;;;;
Guillaume Florent;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;1;0000-0002-4553-8993;1;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Lizzie Scholtus;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;1;0000-0001-8627-8991;1;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Alix ChaguÃ©;01/07/2019;09/05/2020;1;3;0;0;0;0;2;0;1;3;0000-0002-0136-4434;1;1;0;0;0;0;1;0;1;;;Phd;;;Paris;;;FR;;;Inria;;;;;;;;;;;;Inria;2019;;;;;;;;;;;;;
Catherine Paulin;10/04/2020;10/04/2020;0;1;0;0;0;0;1;0;0;1;0000-0002-3440-6039;1;1;0;0;0;0;1;0;0;Professor;;;Besancon;;;FR;;;UniversitÃ© de Franche-ComtÃ©;;;UFR SLHS, English department;;;;;;;;;;;;2020;FR;Besancon;;;;;;;;;;;
CÃ©lian Ringwald;10/06/2021;10/09/2021;0;2;0;0;0;0;1;1;0;2;0000-0002-7302-9037;1;1;0;0;0;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Antoine Gourlay;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;1;1;0000-0002-1016-213X;1;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Floriane Chiffoleau;19/11/2021;19/11/2021;0;1;0;0;0;0;1;0;0;1;0000-0003-4482-7897;1;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Matthias Gille Levenson;06/10/2021;06/10/2021;0;1;0;0;0;0;0;1;0;1;0000-0001-9488-5986;1;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;; ENS Lyon / Casa de Velázquez;2021;France;Lyon; ENS Lyon / Casa de Velázquez;2021;France;Lyon;;;;;;;;;;;
Antoine Courtin;09/05/2020;09/05/2020;0;1;0;0;0;0;1;0;0;1;0000-0003-0275-5143;1;1;0;0;0;0;1;0;0;Research Engineer;Chef du service numÃ©rique de la recherche;ChargÃ© de dÃ©veloppement des ressources numÃ©riques du Centre de Ressources et de Recherches ;Nanterre;Paris;Paris;FR;FR;FR;Labex Les PassÃ©s dans le prÃ©sent;" ""Institut National d'Histoire de l'Art""";Etablissement public du musÃ©e dâ€™Orsay et du musÃ©e de lâ€™Orangerie ValÃ©rie Giscard dâ€™Estain; None;DÃ©partement des Ã©tudes et de la recherche;;;;;;;;;;Etablissement public du musÃ©e dâ€™Orsay et du musÃ©e de lâ€™Orangerie ValÃ©rie Giscard dâ€™Estain;2020;FR;Paris;;;;;;;;;;;
Martin Grandjean;16/01/2020;16/01/2020;0;1;0;0;0;0;1;0;0;1;0000-0003-3184-3943;1;1;0;0;0;0;1;0;0;Phd;;;Lausanne;;;CH;;;UniversitÃ© de Lausanne;;; None;;;;;;history; University of Lausanne;2019;Switzerland;Lausanne; University of Lausanne;2019;Switzerland;Lausanne;;;;;;;;;;;
