pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editor;translator;total contrib;orcid_id;have_orcid;fr_contrib;en_contrib;pt_contrib;es_contrib;authors_contrib;reviewers_contrib;editor_contrib;translator_contrib;role2;city2;country2;institution2;speciality2
Peggy Griesinger;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;1;0000-0003-2771-5367;1;0;1;0;0;0;1;0;0;Metadata & Cataloging Librarian;Fairfax;US;George Mason University;University Libraries
Susan Grunewald;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;1;0000-0003-1275-4101;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Andrew Janco;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;1;0000-0002-8872-9474;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Randa El Khatib;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;1;0000-0002-2480-4746;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Brandon Hawk;25/11/2014;25/11/2014;0;0;1;0;0;0;1;0;0;1;0000-0002-5406-8807;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Justin Colson;27/01/2017;27/01/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-4352-2154;1;0;1;0;0;1;0;0;0;Lecturer;Colchester;GB;University of Essex;History
Adam Dennett;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;1;0000-0003-2742-5968;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Beatrice Alex;31/10/2017;31/10/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-7279-1476;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Anouk Lang;31/10/2017;31/10/2017;0;0;1;0;0;0;1;0;0;1;0000-0001-9597-1026;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Sarah Simpkin;13/12/2013;31/10/2017;4;0;4;0;0;1;3;0;0;4;0000-0003-0774-4777;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Josh MacFadyen;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;4;0000-0002-1568-8843;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Daniel Macfarlane;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;4;0000-0001-6268-8945;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Finn Arne JÃ¸rgensen;13/12/2013;13/12/2013;0;0;4;0;0;0;4;0;0;4;0000-0003-3696-4189;1;0;1;0;0;0;1;0;0;Associate Professor;UmeÃ¥;SE;UmeÃ¥ University;Department of Historical, Philosophical, and Religious Studies
Peter Webster;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;2;0000-0001-6801-0852;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Abby Schreiber;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;2;0000-0003-2350-049X;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Eric Weinberg;20/08/2018;20/08/2018;0;0;1;0;0;1;0;0;0;1;0000-0002-3311-1060;1;0;1;0;0;1;0;0;0;None;None;None;None;None
John Fink;02/09/2012;13/11/2015;3;0;2;0;0;0;2;0;0;2;0000-0001-5301-5626;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Nancy Lemay;13/11/2015;13/11/2015;0;0;1;0;0;0;1;0;0;1;0000-0003-0311-5252;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jeff Blackadar;03/05/2018;03/05/2018;0;0;1;0;0;1;0;0;0;1;0000-0002-8160-0942;1;0;1;0;0;1;0;0;0;Bachelor;Ottawa;CA;Carleton University;History
Simon Appleford;03/05/2018;03/05/2018;0;0;1;0;0;0;1;0;0;1;0000-0003-2192-7860;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Oliver Duke-Williams;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;1;0000-0001-8050-1881;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jonathan Reeve;24/07/2016;24/07/2016;0;0;1;0;0;1;0;0;0;1;0000-0003-2827-1569;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Ben Hurwitz;06/05/2013;06/05/2013;0;0;1;0;0;0;1;0;0;1;0000-0003-2670-6514;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Gabi Kirilloff;04/12/2021;04/12/2021;0;0;1;0;0;1;0;0;0;1;0000-0003-2696-1419;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Shawn Graham;02/09/2012;04/12/2021;9;0;6;0;0;3;3;0;0;6;0000-0002-2887-3554;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Allison Hegel;20/09/2014;20/09/2014;0;0;2;0;0;0;2;0;0;2;0000-0001-7750-7246;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Charlotte Tupman;20/09/2014;20/09/2014;0;0;1;0;0;0;1;0;0;1;0000-0002-4211-1062;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jonathan Blaney;07/07/2016;07/05/2017;1;0;2;0;0;1;1;0;0;2;0000-0002-5044-5038;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Terhi Nurmikko-Fuller;07/05/2017;07/05/2017;0;0;1;0;0;0;1;0;0;1;0000-0002-0688-3006;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Ted Dawson;21/07/2016;21/07/2016;0;0;1;0;0;1;0;0;0;1;0000-0002-9192-6233;1;0;1;0;0;1;0;0;0;Phd;Nashville;US;Vanderbilt University;German
Erin N. Bush;21/07/2016;24/04/2017;1;0;2;0;0;0;2;0;0;2;0000-0002-5958-9038;1;0;1;0;0;0;1;0;0;Phd;Fairfax;US;George Mason University;History & Art History
Lee Skallerup Bessette;29/08/2017;29/08/2017;0;0;1;0;0;0;1;0;0;1;0000-0002-0827-3420;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Dave Rodriguez;20/12/2018;11/12/2020;2;0;1;0;1;1;0;0;1;2;0000-0001-9759-8464;1;0;1;0;1;1;0;0;1;None;None;None;None;None
Go Sugimoto;22/05/2019;22/05/2019;0;0;1;0;0;1;0;0;0;1;0000-0003-2646-6784;1;0;1;0;0;1;0;0;0; None;Vienna;AT;Austrian Academy of Sciences;Austrian Center for Digital Humanities
Amber Stubbs;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;1;0000-0001-6148-9290;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Brianna Allen;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;1;0000-0002-0824-4048;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Folgert Karsdorp;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;1;0000-0002-5958-0551;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Jan Rybicki;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;1;0000-0003-2504-9372;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Antonio Rojas Castro;15/03/2017;11/12/2020;3;0;1;0;45;0;30;15;1;46;0000-0002-8916-4997;1;0;1;0;1;0;1;1;1; None;Koln;DE;UniversitÃ¤t zu KÃ¶ln;Cologne Center for eHumanities
Tassie Gniady;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;1;0000-0001-8693-3677;1;0;1;0;0;1;0;0;0;None;None;None;None;None
David Kloster;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;1;0000-0001-8577-8409;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Kim Pham;29/08/2017;29/08/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-9115-4739;1;0;1;0;0;1;0;0;0;None;None;None;None;None
Vilja Hulden;17/12/2014;17/12/2014;0;0;1;0;0;1;0;0;0;1;0000-0002-3812-7010;1;0;1;0;0;1;0;0;0;None;None;None;None;None
