Simon Hengchen;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0002-8453-7221;; None;;;Helsinki;;;FI;;;University of Helsinki;;; None;;
Ryan Muther;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Marco Büchler;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Anna-Maria Sichani;18/03/2019;11/02/2022;3;0;5;0;0;0;0;5;0;0;0;0000-0001-6778-4610;; None;;;Athens;;;GR;;;National and Kapodistrian University of Athens;;;Modern Greek Literature ;;
Luke Bergmann;11/11/2012;11/11/2012;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Sharon Howard;11/11/2012;30/04/2014;2;0;2;0;0;0;2;0;0;0;0;0000-0002-6051-6274;;Phd;Project Manager;Research Assistant;Aberystwyth;Sheffield;London;GB;GB;GB;Aberystwyth University;University of Sheffield;Birkbeck University of London;History and Welsh History;Digital Humanities Institute;History
Joanna Swafford;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0003-4125-2813;;Phd;Assistant Professor;Digital Humanities Specialist;Charlottesville;New Paltz;Medford;US;US;US;University of Virginia;SUNY New Paltz Department of English;Tufts University;English;English;Tufts Technology Services
Celeste Tường Vy Sharpe;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Jessica Otis;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0001-5519-8331;;Phd;Digital Humanities Specialist;Director of Public Projects at the Roy Rosenzweig Center for History and New Media, Assistant Professor of History;Charlottesville;Pittsburgh;Fairfax;US;US;US;University of Virginia;Carnegie Mellon University;George Mason University;History;University Libraries;History and Art History
Christopher N. Warren;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-9881-682X;;Phd;;;Oxford;;;GB;;;University of Oxford;;;English;;
Scott Weingart;02/09/2012;23/08/2017;5;0;2;0;0;2;0;0;0;0;0;0000-0001-9792-9446;;;;;;;;;;;;;;;;
Elisa Beshero-Bondar;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1709-2314;;Phd;Associate Professor;Professor;University Park;Greensburg;Erie;US;US;US;Pennsylvania State University;University of Pittsburgh at Greensburg;Penn State Behrend;English;Humanities Division;Digital Media, Arts, and Technology
Anne Chao;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Qiwei Li;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1020-3050;;;Assistant Professor;Assistant Professor;;Dallas;Richardson;;US;US;;University of Texas Southwestern Medical Center;University of Texas at Dallas;;Medical Center;Mathematics
Stephen Krewson;14/01/2019;14/01/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0002-6086-0649;;Bachelor;;;Philadelphia;;;US;;;University of Pennsylvania;;;English;;
Catherine DeRose;22/11/2016;30/01/2020;4;0;3;0;0;0;3;0;0;0;0;0000-0002-0384-7704;;;Outreach and Engagement Manager;;;New Haven;;;US;;;Yale University;;;Digital Humanities Lab;
Guy McClellan;01/12/2015;01/12/2015;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Amanda Morton;17/07/2012;01/12/2015;3;0;7;0;0;0;7;0;0;0;0;;;;;;;;;;;;;;;;;
Evan Peter Williamson;12/08/2017;12/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7990-9924;;Master;;;Vancouver;;;CA;;;University of British Columbia;;;iSchool@UBC: School of Library, Archival and Information Studies;;
Peggy Griesinger;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2771-5367;;National Digital Stewardship Resident;Metadata & Cataloging Librarian;Head of Metadata Initiatives;New York;Fairfax;Notre Dame;US;US;US;Museum of Modern Art;George Mason University;University of Notre Dame;Conservation;University Libraries;Hesburgh Libraries
Lisa Lowry;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Susan Grunewald;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;0;0;0000-0003-1275-4101;;Phd;;;Pittsburgh;;;US;;;Carnegie Mellon University;;;History;;
Andrew Janco;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;0;0;0000-0002-8872-9474;;;;;;;;;;;;;;;;
Eleni Gadolou;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Randa El Khatib;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;0;0;0000-0002-2480-4746;;;;;;;;;;;;;;;;
Jon Crump;25/11/2014;25/11/2014;0;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
Brandon Hawk;25/11/2014;25/11/2014;0;0;1;0;0;0;1;0;0;0;0;0000-0002-5406-8807;;MA;;Associate Professor;Storrs;;Providence;US;;US;University of Connecticut;;Rhode Island College;Medieval Studies;;English
Justin Colson;27/01/2017;27/01/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-4352-2154;;Phd;Lecturer;Senior Lecturer;Egham;Colchester;London;GB;GB;GB;Royal Holloway University of London;University of Essex;Institute of Historical Research, University of London;History;History;Historical Research
Adam Dennett;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2742-5968;;;;;;;;;;;;;;;;
Léon Robichaud;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Beatrice Alex;31/10/2017;31/10/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7279-1476;;;;;;;;;;;;;;;;
Anouk Lang;31/10/2017;31/10/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0001-9597-1026;;;;;;;;;;;;;;;;
Sarah Simpkin;13/12/2013;31/10/2017;4;0;4;0;0;1;3;0;0;0;0;0000-0003-0774-4777;;MLIS;;Head, Research Support (Arts and Special Collections);London;;Ottawa;CA;;CA;Western University;;University of Ottawa;Faculty of Information and Media Studies;;Library and Information Science
Josh MacFadyen;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;0;0;0000-0002-1568-8843;;Phd;;Associate Professor;Guelph;;Charlottetown;CA;;CA;University of Guelph;;University of Prince Edward Island;History;;Faculty of Arts
Daniel Macfarlane;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;0;0;0000-0001-6268-8945;;;;;;;;;;;;;;;;
