id1;id2;size
Andrew Janco;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;0;0;0000-0002-8872-9474;
Eleni Gadolou;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;0;0;;
Randa El Khatib;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;0;0;0000-0002-2480-4746;
Jon Crump;25/11/2014;25/11/2014;0;0;1;0;0;1;0;0;0;0;0;;
Brandon Hawk;25/11/2014;25/11/2014;0;0;1;0;0;0;1;0;0;0;0;0000-0002-5406-8807;
Justin Colson;27/01/2017;27/01/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-4352-2154;
Adam Dennett;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2742-5968;
Léon Robichaud;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;0;0;;
Beatrice Alex;31/10/2017;31/10/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7279-1476;
Anouk Lang;31/10/2017;31/10/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0001-9597-1026;
Sarah Simpkin;13/12/2013;31/10/2017;4;0;4;0;0;1;3;0;0;0;0;0000-0003-0774-4777;
Josh MacFadyen;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;0;0;0000-0002-1568-8843;
Daniel Macfarlane;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;0;0;0000-0001-6268-8945;
Finn Arne Jørgensen;13/12/2013;13/12/2013;0;0;4;0;0;0;4;0;0;0;0;0000-0003-3696-4189;
Peter Webster;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;0;0;0000-0001-6801-0852;
Abby Schreiber;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;0;0;0000-0003-2350-049X;
Eric Weinberg;20/08/2018;20/08/2018;0;0;1;0;0;1;0;0;0;0;0;0000-0002-3311-1060;
John Fink;02/09/2012;13/11/2015;3;0;2;0;0;0;2;0;0;0;0;0000-0001-5301-5626;
Nancy Lemay;13/11/2015;13/11/2015;0;0;1;0;0;0;1;0;0;0;0;0000-0003-0311-5252;
Jeff Blackadar;03/05/2018;03/05/2018;0;0;1;0;0;1;0;0;0;0;0;0000-0002-8160-0942;
Simon Appleford;03/05/2018;03/05/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2192-7860;
Oliver Duke-Williams;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;0;0;0000-0001-8050-1881;
Sylvia Fernández Quintanilla;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;0;0;;
Jonathan Reeve;24/07/2016;24/07/2016;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2827-1569;
M. H. Beals;20/09/2014;24/07/2016;2;0;4;0;0;1;3;0;0;0;0;;
Ben Hurwitz;06/05/2013;06/05/2013;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2670-6514;
Gabi Kirilloff;04/12/2021;04/12/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2696-1419;
Brandee Easter;04/12/2021;04/12/2021;0;0;1;0;0;0;1;0;0;0;0;;
Shawn Graham;02/09/2012;04/12/2021;9;0;6;0;0;3;3;0;0;0;0;0000-0002-2887-3554;
Allison Hegel;20/09/2014;20/09/2014;0;0;2;0;0;0;2;0;0;0;0;0000-0001-7750-7246;
Charlotte Tupman;20/09/2014;20/09/2014;0;0;1;0;0;0;1;0;0;0;0;0000-0002-4211-1062;
Jonathan Blaney;07/07/2016;07/05/2017;1;0;2;0;0;1;1;0;0;0;0;0000-0002-5044-5038;
Terhi Nurmikko-Fuller;07/05/2017;07/05/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0688-3006;
Ted Dawson;21/07/2016;21/07/2016;0;0;1;0;0;1;0;0;0;0;0;0000-0002-9192-6233;
Erin N. Bush;21/07/2016;24/04/2017;1;0;2;0;0;0;2;0;0;0;0;0000-0002-5958-9038;
Derek Price;21/07/2016;21/07/2016;0;0;1;0;0;0;1;0;0;0;0;;
Lee Skallerup Bessette;29/08/2017;29/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0827-3420;
Dave Rodriguez;20/12/2018;11/12/2020;2;0;1;0;1;1;0;0;1;0;0;0000-0001-9759-8464;
Tesla Cariani;20/12/2018;20/12/2018;0;0;1;0;0;0;1;0;0;0;0;;
Josh Romphf;20/12/2018;20/12/2018;0;0;1;0;0;0;1;0;0;0;0;;
Go Sugimoto;22/05/2019;22/05/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2646-6784;
Amber Stubbs;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;0;0;0000-0001-6148-9290;
Brianna Allen;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0824-4048;
Folgert Karsdorp;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0002-5958-0551;
Jan Rybicki;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2504-9372;
Antonio Rojas Castro;15/03/2017;11/12/2020;3;0;1;0;45;0;2;1;1;14;28;0000-0002-8916-4997;
Tassie Gniady;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0001-8693-3677;
David Kloster;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0001-8577-8409;
Kim Pham;29/08/2017;29/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-9115-4739;
Vilja Hulden;17/12/2014;17/12/2014;0;0;1;0;0;1;0;0;0;0;0;0000-0002-3812-7010;
Francesca Benatti;17/07/2012;17/07/2012;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1456-7812;
Andrew Akhlaghi;06/01/2021;06/01/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0002-0824-3328;
Clemens Neudecker;06/01/2021;06/01/2021;0;0;1;0;0;0;1;0;0;0;0;0000-0001-5293-8322;
Gustavo Candela;06/01/2021;30/08/2021;0;0;1;0;1;1;1;0;0;0;0;0000-0001-6122-0777;
Jane Winters;30/04/2014;30/04/2014;0;0;1;0;0;0;1;0;0;0;0;0000-0001-5502-5887;
Taryn Dewar;05/09/2016;05/09/2016;0;0;1;0;0;1;0;0;0;0;0;;
"""Zo&#235"; Wilkinson Salda&#241;"a""";15/01/2018;15/01/2018;0;0;1;0;0;1;0;0;0;0;0
Puteri Zarina Megat Khalid;15/01/2018;15/01/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0002-9296-8662;
Jeff Veitch;07/06/2016;07/06/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0287-7493;
Tim Compeau;07/06/2016;07/06/2016;0;0;1;0;0;0;1;0;0;0;0;;
Dennis Tenen;19/03/2014;19/03/2014;0;0;1;0;0;1;0;0;0;0;0;;
Grant Wythoff;19/03/2014;19/03/2014;0;0;1;0;0;1;0;0;0;0;0;0000-0002-6605-9596;
Alex Brey;04/11/2018;04/11/2018;0;0;1;0;0;1;0;0;0;0;0;0000-0002-3201-8462;
Peter Organisciak;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;0;0;0000-0002-9058-2280;
Boris Capitanu;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;0;0;;
Stéfan Sinclair;22/11/2016;22/11/2016;0;0;1;0;0;0;1;0;0;0;0;;
Alan MacEachern;02/09/2012;02/09/2012;0;0;1;0;0;0;1;0;0;0;0;;
Tessa C Hauswedell;07/07/2016;07/07/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0734-3538;
Seth Bernstein;04/10/2013;04/10/2013;0;0;1;0;0;1;0;0;0;0;0;0000-0001-5116-3828;
Michelle Moravec;04/10/2013;04/10/2013;0;0;1;0;0;0;1;0;0;0;0;;
Ezra Brooks;04/10/2013;04/10/2013;0;0;1;0;0;0;1;0;0;0;0;;
