pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;orcid_id;digital humanities;digital history;history;literature;public history;18th century;archaeology;book history;contemporary history;digital humanities;digital libraries;education;iberian culture;information science;network analysis;political economy;sound studies;text analysis;web archives;before PH;During PH;After PH
Tessa C Hauswedell;07/07/2016;07/07/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0734-3538;;;;;;;;;;;;;;;;;;;;;;
Seth Bernstein;04/10/2013;04/10/2013;0;0;1;0;0;1;0;0;0;0;0;0000-0001-5116-3828;;;;;;;;;;;;;;;;;;;;;; None
Jason Heppler;24/04/2017;24/04/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0003-4158-6186;1;1;1;;1;;;;;;;;;;;;;;;Phd;;Senior Web Developer
Charlie Harper;27/07/2018;27/07/2018;0;0;1;0;0;1;0;0;0;0;0;0000-0003-3781-5812;;;;;;;;;;;;;;;;;;;;Bachelor;;
Ben Schmidt;27/07/2018;27/07/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0002-8263-5485;;;;;;;;;;;;;;;;;;;;;;
Moritz Mähr;30/01/2020;30/01/2020;0;0;1;0;0;1;0;0;0;0;0;0000-0002-1367-1618;1;1;;;;;;;;;;;;;;;;;; None;;Project manager
Caio Mello;14/06/2021;14/06/2021;0;0;0;1;0;0;0;0;1;0;0;0000-0001-7492-7237;;;;;;;;;;;;;;;;;;;;;;
Josir Cardoso Gomes;26/03/2021;14/06/2021;0;0;0;3;0;0;0;0;0;2;1;0000-0001-7629-1404;;;;;;;;;;;;;;1;;1;;;;MSc;Phd;
Bruno Ponne;14/06/2021;14/06/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0002-3057-932X;;;;;;;;;;;;;;;;;;;;Bachelor;;
Jimmy Medeiros;26/03/2021;02/03/2022;1;0;0;10;0;0;0;0;0;10;0;0000-0002-8280-3338;;;;;;;;;;;;;;;;;;;;Bachelor;;
Joana Vieira Paulino;29/01/2021;13/01/2022;1;0;0;6;0;0;0;0;0;3;3;0000-0002-9433-2799;;;;;;;;;;;;;;;;;;;;BIC;;
Luis Ferla;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0003-3617-2560;;;;;;;;;;;;;;;;;;;;;;
Bruno Martins;30/03/2021;13/05/2021;0;0;0;7;0;0;0;0;0;0;7;0000-0002-8102-9416;;;;;;;;;;;;;;;;;;;;Intern;;
Renato Rocha Souza;13/05/2021;13/05/2021;0;0;0;5;0;0;0;0;0;0;5;0000-0002-1895-3905;;;;;;;;;;;;;;;;;;;;Graduate in Systems Engineering;;
João Gilberto Neves Saraiva;30/03/2021;30/03/2021;0;0;0;1;0;0;0;0;1;0;0;0000-0002-2094-8216;;1;;;;;;;;;;1;;;;;;;;Técnico Júnior em Arqueologia;;
Rômulo Predes;12/05/2021;13/07/2021;0;0;0;3;0;0;0;0;0;0;3;0000-0001-9461-7834;;;;;;;;;;;;;;;;;;;;Bachelor;;
Mariana Affonso Penna;10/09/2021;10/09/2021;0;0;0;1;0;0;0;0;1;0;0;0000-0001-5415-795X;;;;;;;;;;;;;;;;;;;;Phd;;
Aracele Torres;12/05/2021;13/05/2021;0;0;0;2;0;0;0;0;2;0;0;0000-0002-5240-060X;;;;;;;;;;;;;;;;;;;;Graduation;;
Ivo Veiga;21/05/2021;28/08/2021;0;0;0;2;0;0;0;0;0;0;2;0000-0001-8385-3030;;;;;;;;;;;;;;;;;;;;Phd;;
Romulo Predes;28/08/2021;28/08/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0001-9461-7834;;;;;;;;;;;;;;;;;;;;Bachelor;;
Suemi Higuchi;21/05/2021;21/05/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0002-6255-3781;;;;;;;;;;;;;;;;;;;;;;
Samuel Van Ransbeeck;26/03/2021;26/03/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0001-6959-6605;1;;;;;;;;;;;;;;;;;;;Research Consultant;;
Juliana Marques da Silva;26/03/2021;26/03/2021;0;0;0;1;0;0;0;0;0;0;1;0000-0002-1637-8505;1;;;;;;;;;;;;;;;;;;;;;
Jennifer Isasi;15/03/2018;16/11/2021;3;0;0;0;19;1;3;4;4;2;5;0000-0002-4295-895X;1;;;;;;;;;;;;1;;;;;;;Bachelor;CLIR/DLF Postdoctoral Fellow in Data Curation for Latin American and Latina/o Studies;
Victor Gayol;02/06/2018;05/06/2020;2;0;0;0;4;0;0;0;1;2;1;0000-0002-2442-3193;;;;;;;;;;;;;;;;;;;;Doctor;;
Riva Quiroga;13/05/2018;11/04/2022;4;0;0;0;7;0;2;1;1;0;3;0000-0002-1147-4135;;;;;;;;;;;;;;;;;;;;;;
Carlos Manuel Varón Castañeda;04/05/2018;04/05/2018;0;0;0;0;1;0;0;0;1;0;0;0000-0001-9581-5007;;;;;;;;;;;;;;;;;;;;Especialista en edición de publicaciones;;
Basthian Medina;28/06/2021;11/04/2022;1;0;0;0;2;0;1;0;1;0;0;0000-0001-5822-5112;;;;;;;;;;;;;;;;;;;;Licenciado;;
José Antonio Motilla;26/04/2017;11/04/2022;5;0;0;0;10;0;1;1;1;2;5;0000-0003-0591-5560;;;;;;;;;;;;;;;;;;;;Licenciado;;
Maria José Afanador-Llach;15/03/2017;30/08/2021;4;0;0;0;32;0;0;3;2;6;21;0000-0003-2652-5799;;;;;;;;;;;;;;;;;;;;Phd;;
Antonio Sánchez-Padial;13/05/2018;23/04/2019;1;0;0;0;2;0;0;0;0;0;2;0000-0001-9532-3133;;;;;;;;;;;;;;;;;;;;Lecturer;;
María José Afanador-Llach;30/03/2020;30/03/2020;0;0;0;0;1;0;1;0;0;0;0;0000-0003-2652-5799;;;;;;;;;;;;;;;;;;;;Phd;;
Víctor Gayol;15/03/2017;30/08/2021;4;0;0;0;28;0;1;0;24;1;2;0000-0002-2442-3193;;;;;;;;;;;;;;;;;;;;Doctor;;
Jairo A. Melo;15/03/2017;07/10/2017;0;0;0;0;20;0;0;0;1;0;19;0000-0002-8174-4524;;;;;;;;;;;;;;;;1;;;;Ma in Political Studies;;
Ignacio Rodríguez;01/04/2019;01/04/2019;0;0;0;0;1;0;1;0;0;0;0;0000-0002-3752-9536;;;;1;;;;;;;;;;;;;;;;Sobresaliente cum Laude;;Professor
Joshua Ortiz-Baco;29/11/2018;29/11/2018;0;0;0;0;1;0;0;0;0;0;1;0000-0002-9723-4262;;;;;;;;;;;;;;;;;;;;Bachelor;;Digital Archivist
Andrés Gattinoni;15/03/2018;15/03/2018;0;0;0;0;1;0;0;0;1;0;0;0000-0001-6741-6746;;;;;;1;;;;;;;;;;;;;;Magister en Sociología de la Cultura y Análisis Cultural ;Doctor en Historia;
Antonio Jesús Sánchez Padial;29/07/2017;29/07/2017;0;0;0;0;1;0;0;0;0;0;1;0000-0001-9532-3133;;;;;;;;;;;;;;;;;;;;Software Engineer;Jefe de Servicio de Biometría;Jefe de Área
Joshua G. Ortiz Baco;31/10/2018;14/12/2021;3;0;0;0;4;1;0;1;0;1;1;0000-0002-9723-4262;;;;;;;;;;;;;;;;;;;;Bachelor;Graduate Research Assistant, Digital Scholarship Lab Manager;
Juan Cobo;31/07/2017;31/07/2017;0;0;0;0;1;0;0;0;0;0;1;0000-0003-4776-0261;;;;;;;;;;;;;;;;;;;;Bachelor;;
