pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer
Celeste Tường Vy Sharpe;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;0;0
Jessica Otis;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0
Christopher N. Warren;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0
Scott Weingart;02/09/2012;23/08/2017;5;0;2;0;0;2;0;0;0;0;0
Elisa Beshero-Bondar;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0
Anne Chao;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0
Qiwei Li;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0
Stephen Krewson;14/01/2019;14/01/2019;0;0;1;0;0;1;0;0;0;0;0
Catherine DeRose;22/11/2016;30/01/2020;4;0;3;0;0;0;3;0;0;0;0
Guy McClellan;01/12/2015;01/12/2015;0;0;1;0;0;0;1;0;0;0;0
Amanda Morton;17/07/2012;01/12/2015;3;0;7;0;0;0;7;0;0;0;0
Evan Peter Williamson;12/08/2017;12/08/2017;0;0;1;0;0;1;0;0;0;0;0
Peggy Griesinger;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;0;0
Lisa Lowry;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;0;0
Susan Grunewald;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;0;0
Andrew Janco;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;0;0
Eleni Gadolou;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;0;0
Randa El Khatib;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;0;0
Jon Crump;25/11/2014;25/11/2014;0;0;1;0;0;1;0;0;0;0;0
Brandon Hawk;25/11/2014;25/11/2014;0;0;1;0;0;0;1;0;0;0;0
Justin Colson;27/01/2017;27/01/2017;0;0;1;0;0;1;0;0;0;0;0
Adam Dennett;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;0;0
Léon Robichaud;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;0;0
Beatrice Alex;31/10/2017;31/10/2017;0;0;1;0;0;1;0;0;0;0;0
Anouk Lang;31/10/2017;31/10/2017;0;0;1;0;0;0;1;0;0;0;0
Sarah Simpkin;13/12/2013;31/10/2017;4;0;4;0;0;1;3;0;0;0;0
Josh MacFadyen;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;0;0
Daniel Macfarlane;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;0;0
Finn Arne Jørgensen;13/12/2013;13/12/2013;0;0;4;0;0;0;4;0;0;0;0
Peter Webster;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;0;0
Abby Schreiber;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;0;0
Eric Weinberg;20/08/2018;20/08/2018;0;0;1;0;0;1;0;0;0;0;0
John Fink;02/09/2012;13/11/2015;3;0;2;0;0;0;2;0;0;0;0
Nancy Lemay;13/11/2015;13/11/2015;0;0;1;0;0;0;1;0;0;0;0
Jeff Blackadar;03/05/2018;03/05/2018;0;0;1;0;0;1;0;0;0;0;0
Simon Appleford;03/05/2018;03/05/2018;0;0;1;0;0;0;1;0;0;0;0
Oliver Duke-Williams;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;0;0
Sylvia Fernández Quintanilla;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;0;0
Jonathan Reeve;24/07/2016;24/07/2016;0;0;1;0;0;1;0;0;0;0;0
M. H. Beals;20/09/2014;24/07/2016;2;0;4;0;0;1;3;0;0;0;0
Ben Hurwitz;06/05/2013;06/05/2013;0;0;1;0;0;0;1;0;0;0;0
Gabi Kirilloff;04/12/2021;04/12/2021;0;0;1;0;0;1;0;0;0;0;0
Brandee Easter;04/12/2021;04/12/2021;0;0;1;0;0;0;1;0;0;0;0
Shawn Graham;02/09/2012;04/12/2021;9;0;6;0;0;3;3;0;0;0;0
Allison Hegel;20/09/2014;20/09/2014;0;0;2;0;0;0;2;0;0;0;0
