pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;total_contrib;orcid;
Simon Appleford;03/05/2018;03/05/2018;0;0;1;0;0;0;1;0;0;0;0;1;0000-0003-2192-7860;
Oliver Duke-Williams;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-8050-1881;
Sylvia Fernández Quintanilla;18/03/2019;18/03/2019;0;0;1;0;0;0;1;0;0;0;0;1;;
Ben Hurwitz;06/05/2013;06/05/2013;0;0;1;0;0;0;1;0;0;0;0;1;0000-0003-2670-6514;
Brandee Easter;04/12/2021;04/12/2021;0;0;1;0;0;0;1;0;0;0;0;1;;
Charlotte Tupman;20/09/2014;20/09/2014;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-4211-1062;
Terhi Nurmikko-Fuller;07/05/2017;07/05/2017;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-0688-3006;
Derek Price;21/07/2016;21/07/2016;0;0;1;0;0;0;1;0;0;0;0;1;;
Lee Skallerup Bessette;29/08/2017;29/08/2017;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-0827-3420;
Tesla Cariani;20/12/2018;20/12/2018;0;0;1;0;0;0;1;0;0;0;0;1;;
Josh Romphf;20/12/2018;20/12/2018;0;0;1;0;0;0;1;0;0;0;0;1;;
Amber Stubbs;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-6148-9290;
Brianna Allen;22/05/2019;22/05/2019;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-0824-4048;
